trace_id,event_name,start_time,start_weekday,end_time,duration,resource,adapted
0,process start event,2022-08-01 09:00:00+00:00,0,2022-08-01 09:00:00+00:00,0.0,NA,False
0,A,2022-08-01 09:00:00+00:00,0,2022-08-01 09:30:00+00:00,30.0,Default Resource-000001,False
0,B,2022-08-01 09:30:00+00:00,0,2022-08-01 10:00:00+00:00,30.0,Default Resource-000003,False
0,C,2022-08-01 10:00:00+00:00,0,2022-08-01 10:30:00+00:00,30.0,Default Resource-000006,False
0,D,2022-08-01 10:30:00+00:00,0,2022-08-01 11:00:00+00:00,30.0,Default Resource-000010,False
0,E,2022-08-01 11:00:00+00:00,0,2022-08-01 11:30:00+00:00,30.0,Default Resource-000005,False
0,F,2022-08-01 11:30:00+00:00,0,2022-08-01 12:00:00+00:00,30.0,Default Resource-000001,False
0,process end event,2022-08-01 12:00:00+00:00,0,2022-08-01 12:00:00+00:00,0.0,NA,False
1,process start event,2022-08-01 09:30:00+00:00,0,2022-08-01 09:30:00+00:00,0.0,NA,False
1,A,2022-08-01 09:30:00+00:00,0,2022-08-01 10:00:00+00:00,30.0,Default Resource-000002,False
1,B,2022-08-01 10:00:00+00:00,0,2022-08-01 10:40:00+00:00,40.0,Default Resource-000005,False
1,C,2022-08-01 10:40:00+00:00,0,2022-08-01 11:40:00+00:00,60.0,Default Resource-000009,False
1,D,2022-08-01 11:40:00+00:00,0,2022-08-01 12:10:00+00:00,30.0,Default Resource-000004,False
1,E,2022-08-01 12:10:00+00:00,0,2022-08-01 12:40:00+00:00,30.0,Default Resource-000010,False
1,F,2022-08-01 12:40:00+00:00,0,2022-08-01 13:10:00+00:00,30.0,Default Resource-000007,False
1,process end event,2022-08-01 13:10:00+00:00,0,2022-08-01 13:10:00+00:00,0.0,NA,False
2,process start event,2022-08-01 10:00:00+00:00,0,2022-08-01 10:00:00+00:00,0.0,NA,True
2,A,2022-08-01 10:00:00+00:00,0,2022-08-01 10:30:00+00:00,30.0,Default Resource-000004,True
2,B,2022-08-01 10:30:00+00:00,0,2022-08-01 11:20:00+00:00,50.0,Default Resource-000008,True
2,C,2022-08-01 11:20:00+00:00,0,2022-08-01 12:50:00+00:00,90.0,Default Resource-000003,True
2,D,2022-08-01 12:50:00+00:00,0,2022-08-01 13:20:00+00:00,30.0,Default Resource-000009,True
2,F,2022-08-01 14:20:00+00:00,0,2022-08-01 14:50:00+00:00,30.0,Default Resource-000003,True
2,process end event,2022-08-01 14:50:00+00:00,0,2022-08-01 14:50:00+00:00,0.0,NA,True
3,process start event,2022-08-01 10:30:00+00:00,0,2022-08-01 10:30:00+00:00,0.0,NA,False
3,A,2022-08-01 10:30:00+00:00,0,2022-08-01 11:00:00+00:00,30.0,Default Resource-000007,False
3,B,2022-08-01 11:00:00+00:00,0,2022-08-01 12:00:00+00:00,60.0,Default Resource-000002,False
3,C,2022-08-01 12:00:00+00:00,0,2022-08-01 13:00:00+00:00,60.0,Default Resource-000008,False
3,D,2022-08-01 13:00:00+00:00,0,2022-08-01 13:30:00+00:00,30.0,Default Resource-000005,False
3,E,2022-08-01 13:30:00+00:00,0,2022-08-01 14:00:00+00:00,30.0,Default Resource-000002,False
3,F,2022-08-01 14:00:00+00:00,0,2022-08-01 14:30:00+00:00,30.0,Default Resource-000009,False
3,process end event,2022-08-01 14:30:00+00:00,0,2022-08-01 14:30:00+00:00,0.0,NA,False
4,process start event,2022-08-01 11:00:00+00:00,0,2022-08-01 11:00:00+00:00,0.0,NA,False
4,A,2022-08-01 11:00:00+00:00,0,2022-08-01 11:30:00+00:00,30.0,Default Resource-000001,False
4,B,2022-08-01 11:30:00+00:00,0,2022-08-01 12:20:00+00:00,50.0,Default Resource-000007,False
4,C,2022-08-01 12:20:00+00:00,0,2022-08-01 12:50:00+00:00,30.0,Default Resource-000004,False
4,D,2022-08-01 12:50:00+00:00,0,2022-08-01 13:20:00+00:00,30.0,Default Resource-000001,False
4,E,2022-08-01 13:20:00+00:00,0,2022-08-01 13:50:00+00:00,30.0,Default Resource-000008,False
4,F,2022-08-01 13:50:00+00:00,0,2022-08-01 14:20:00+00:00,30.0,Default Resource-000005,False
4,process end event,2022-08-01 14:20:00+00:00,0,2022-08-01 14:20:00+00:00,0.0,NA,False
5,process start event,2022-08-01 11:30:00+00:00,0,2022-08-01 11:30:00+00:00,0.0,NA,False
5,A,2022-08-01 11:30:00+00:00,0,2022-08-01 12:00:00+00:00,30.0,Default Resource-000006,False
5,B,2022-08-01 12:00:00+00:00,0,2022-08-01 12:40:00+00:00,40.0,Default Resource-000003,False
5,C,2022-08-01 12:40:00+00:00,0,2022-08-01 13:40:00+00:00,60.0,Default Resource-000010,False
5,D,2022-08-01 13:40:00+00:00,0,2022-08-01 14:10:00+00:00,30.0,Default Resource-000007,False
5,E,2022-08-01 14:10:00+00:00,0,2022-08-01 14:40:00+00:00,30.0,Default Resource-000004,False
5,F,2022-08-01 14:40:00+00:00,0,2022-08-01 15:10:00+00:00,30.0,Default Resource-000001,False
5,process end event,2022-08-01 15:10:00+00:00,0,2022-08-01 15:10:00+00:00,0.0,NA,False
6,process start event,2022-08-01 12:00:00+00:00,0,2022-08-01 12:00:00+00:00,0.0,NA,False
6,A,2022-08-01 12:00:00+00:00,0,2022-08-01 12:30:00+00:00,30.0,Default Resource-000002,False
6,B,2022-08-01 12:30:00+00:00,0,2022-08-01 13:00:00+00:00,30.0,Default Resource-000009,False
6,C,2022-08-01 13:00:00+00:00,0,2022-08-01 14:30:00+00:00,90.0,Default Resource-000006,False
6,D,2022-08-01 14:30:00+00:00,0,2022-08-01 15:00:00+00:00,30.0,Default Resource-000003,False
6,E,2022-08-01 15:00:00+00:00,0,2022-08-01 15:30:00+00:00,30.0,Default Resource-000010,False
6,F,2022-08-01 15:30:00+00:00,0,2022-08-01 16:00:00+00:00,30.0,Default Resource-000007,False
6,process end event,2022-08-01 16:00:00+00:00,0,2022-08-01 16:00:00+00:00,0.0,NA,False
7,process start event,2022-08-01 12:30:00+00:00,0,2022-08-01 12:30:00+00:00,0.0,NA,False
7,A,2022-08-01 12:30:00+00:00,0,2022-08-01 13:00:00+00:00,30.0,Default Resource-000008,False
7,B,2022-08-01 13:00:00+00:00,0,2022-08-01 13:40:00+00:00,40.0,Default Resource-000005,False
7,C,2022-08-01 13:40:00+00:00,0,2022-08-01 14:40:00+00:00,60.0,Default Resource-000002,False
7,D,2022-08-01 14:40:00+00:00,0,2022-08-01 15:10:00+00:00,30.0,Default Resource-000009,False
7,E,2022-08-01 15:10:00+00:00,0,2022-08-01 15:40:00+00:00,30.0,Default Resource-000006,False
7,F,2022-08-01 15:40:00+00:00,0,2022-08-01 16:10:00+00:00,30.0,Default Resource-000003,False
7,process end event,2022-08-01 16:10:00+00:00,0,2022-08-01 16:10:00+00:00,0.0,NA,False
8,process start event,2022-08-01 13:00:00+00:00,0,2022-08-01 13:00:00+00:00,0.0,NA,False
8,A,2022-08-01 13:00:00+00:00,0,2022-08-01 13:30:00+00:00,30.0,Default Resource-000004,False
8,B,2022-08-01 13:30:00+00:00,0,2022-08-01 14:20:00+00:00,50.0,Default Resource-000001,False
8,C,2022-08-01 14:20:00+00:00,0,2022-08-01 14:50:00+00:00,30.0,Default Resource-000008,False
8,D,2022-08-01 14:50:00+00:00,0,2022-08-01 15:20:00+00:00,30.0,Default Resource-000005,False
8,E,2022-08-01 15:20:00+00:00,0,2022-08-01 15:50:00+00:00,30.0,Default Resource-000002,False
8,F,2022-08-01 15:50:00+00:00,0,2022-08-01 16:20:00+00:00,30.0,Default Resource-000009,False
8,process end event,2022-08-01 16:20:00+00:00,0,2022-08-01 16:20:00+00:00,0.0,NA,False
9,process start event,2022-08-01 13:30:00+00:00,0,2022-08-01 13:30:00+00:00,0.0,NA,False
9,A,2022-08-01 13:30:00+00:00,0,2022-08-01 14:00:00+00:00,30.0,Default Resource-000010,False
9,B,2022-08-01 14:00:00+00:00,0,2022-08-01 15:00:00+00:00,60.0,Default Resource-000007,False
9,C,2022-08-01 15:00:00+00:00,0,2022-08-01 16:00:00+00:00,60.0,Default Resource-000004,False
9,D,2022-08-01 16:00:00+00:00,0,2022-08-01 16:30:00+00:00,30.0,Default Resource-000001,False
9,E,2022-08-01 16:30:00+00:00,0,2022-08-01 17:00:00+00:00,30.0,Default Resource-000008,False
9,F,2022-08-01 17:00:00+00:00,0,2022-08-01 17:30:00+00:00,30.0,Default Resource-000005,False
9,process end event,2022-08-01 17:30:00+00:00,0,2022-08-01 17:30:00+00:00,0.0,NA,False
10,process start event,2022-08-01 14:00:00+00:00,0,2022-08-01 14:00:00+00:00,0.0,NA,True
10,A,2022-08-01 14:00:00+00:00,0,2022-08-01 14:30:00+00:00,30.0,Default Resource-000006,True
10,B,2022-08-01 14:30:00+00:00,0,2022-08-01 15:20:00+00:00,50.0,Default Resource-000003,True
10,C,2022-08-01 15:20:00+00:00,0,2022-08-01 16:50:00+00:00,90.0,Default Resource-000010,True
10,D,2022-08-01 16:50:00+00:00,0,2022-08-01 17:20:00+00:00,30.0,Default Resource-000007,True
10,F,2022-08-01 18:20:00+00:00,0,2022-08-01 18:50:00+00:00,30.0,Default Resource-000001,True
10,process end event,2022-08-01 18:50:00+00:00,0,2022-08-01 18:50:00+00:00,0.0,NA,True
11,process start event,2022-08-01 14:30:00+00:00,0,2022-08-01 14:30:00+00:00,0.0,NA,True
11,A,2022-08-01 14:30:00+00:00,0,2022-08-01 15:00:00+00:00,30.0,Default Resource-000002,True
11,B,2022-08-01 15:00:00+00:00,0,2022-08-01 15:40:00+00:00,40.0,Default Resource-000009,True
11,C,2022-08-01 15:40:00+00:00,0,2022-08-01 16:40:00+00:00,60.0,Default Resource-000006,True
11,D,2022-08-01 16:40:00+00:00,0,2022-08-01 17:10:00+00:00,30.0,Default Resource-000003,True
11,F,2022-08-01 18:10:00+00:00,0,2022-08-02 10:40:00+00:00,990.0,Default Resource-000007,True
11,process end event,2022-08-02 10:40:00+00:00,1,2022-08-02 10:40:00+00:00,0.0,NA,True
12,process start event,2022-08-01 15:00:00+00:00,0,2022-08-01 15:00:00+00:00,0.0,NA,True
12,A,2022-08-01 15:00:00+00:00,0,2022-08-01 15:30:00+00:00,30.0,Default Resource-000008,True
12,B,2022-08-01 15:30:00+00:00,0,2022-08-01 16:00:00+00:00,30.0,Default Resource-000005,True
12,C,2022-08-01 16:00:00+00:00,0,2022-08-01 16:30:00+00:00,30.0,Default Resource-000002,True
12,D,2022-08-01 16:30:00+00:00,0,2022-08-01 17:00:00+00:00,30.0,Default Resource-000009,True
12,F,2022-08-03 02:00:00+00:00,2,2022-08-03 02:30:00+00:00,30.0,Default Resource-000003,True
12,process end event,2022-08-03 02:30:00+00:00,2,2022-08-03 02:30:00+00:00,0.0,NA,True
13,process start event,2022-08-01 15:30:00+00:00,0,2022-08-01 15:30:00+00:00,0.0,NA,True
13,A,2022-08-01 15:30:00+00:00,0,2022-08-01 16:00:00+00:00,30.0,Default Resource-000004,True
13,B,2022-08-01 16:00:00+00:00,0,2022-08-01 16:40:00+00:00,40.0,Default Resource-000001,True
13,C,2022-08-01 16:40:00+00:00,0,2022-08-01 17:40:00+00:00,60.0,Default Resource-000008,True
13,D,2022-08-01 17:40:00+00:00,0,2022-08-02 10:10:00+00:00,990.0,Default Resource-000005,True
13,F,2022-08-02 11:10:00+00:00,1,2022-08-02 11:40:00+00:00,30.0,Default Resource-000009,True
13,process end event,2022-08-02 11:40:00+00:00,1,2022-08-02 11:40:00+00:00,0.0,NA,True
14,process start event,2022-08-01 16:00:00+00:00,0,2022-08-01 16:00:00+00:00,0.0,NA,True
14,A,2022-08-01 16:00:00+00:00,0,2022-08-01 16:30:00+00:00,30.0,Default Resource-000010,True
14,B,2022-08-01 16:30:00+00:00,0,2022-08-01 17:20:00+00:00,50.0,Default Resource-000007,True
14,C,2022-08-01 17:20:00+00:00,0,2022-08-01 18:50:00+00:00,90.0,Default Resource-000004,True
14,D,2022-08-01 18:50:00+00:00,0,2022-08-01 19:20:00+00:00,30.0,Default Resource-000001,True
14,F,2022-08-01 20:20:00+00:00,0,2022-08-01 20:50:00+00:00,30.0,Default Resource-000005,True
14,process end event,2022-08-01 20:50:00+00:00,0,2022-08-01 20:50:00+00:00,0.0,NA,True
15,process start event,2022-08-01 16:30:00+00:00,0,2022-08-01 16:30:00+00:00,0.0,NA,False
15,A,2022-08-01 16:30:00+00:00,0,2022-08-01 17:00:00+00:00,30.0,Default Resource-000006,False
15,B,2022-08-01 17:00:00+00:00,0,2022-08-01 18:00:00+00:00,60.0,Default Resource-000003,False
15,C,2022-08-01 18:00:00+00:00,0,2022-08-01 19:00:00+00:00,60.0,Default Resource-000010,False
15,D,2022-08-01 19:00:00+00:00,0,2022-08-01 19:30:00+00:00,30.0,Default Resource-000007,False
15,E,2022-08-01 19:30:00+00:00,0,2022-08-01 20:00:00+00:00,30.0,Default Resource-000004,False
15,F,2022-08-01 20:00:00+00:00,0,2022-08-01 20:30:00+00:00,30.0,Default Resource-000001,False
15,process end event,2022-08-01 20:30:00+00:00,0,2022-08-01 20:30:00+00:00,0.0,NA,False
16,process start event,2022-08-01 17:00:00+00:00,0,2022-08-01 17:00:00+00:00,0.0,NA,True
16,A,2022-08-01 17:00:00+00:00,0,2022-08-02 09:30:00+00:00,990.0,Default Resource-000002,True
16,B,2022-08-02 09:30:00+00:00,1,2022-08-02 10:20:00+00:00,50.0,Default Resource-000009,True
16,C,2022-08-02 10:20:00+00:00,1,2022-08-02 10:50:00+00:00,30.0,Default Resource-000006,True
16,D,2022-08-02 10:50:00+00:00,1,2022-08-02 11:20:00+00:00,30.0,Default Resource-000003,True
16,F,2022-08-02 12:20:00+00:00,1,2022-08-02 12:50:00+00:00,30.0,Default Resource-000007,True
16,process end event,2022-08-02 12:50:00+00:00,1,2022-08-02 12:50:00+00:00,0.0,NA,True
17,process start event,2022-08-02 09:30:00+00:00,1,2022-08-02 09:30:00+00:00,0.0,NA,False
17,A,2022-08-02 09:30:00+00:00,1,2022-08-02 10:00:00+00:00,30.0,Default Resource-000008,False
17,B,2022-08-02 10:00:00+00:00,1,2022-08-02 10:40:00+00:00,40.0,Default Resource-000005,False
17,C,2022-08-02 10:40:00+00:00,1,2022-08-02 11:40:00+00:00,60.0,Default Resource-000002,False
17,D,2022-08-02 11:40:00+00:00,1,2022-08-02 12:10:00+00:00,30.0,Default Resource-000009,False
